id;order_date;delivery_date;comment;status_id
1;2020-09-21;2020-09-21;input Legacy Rupiah;1
2;2020-09-20;2020-09-21;North Dakota Handcrafted Concrete Towels upward-trending;2
3;2020-09-20;2020-09-21;Keys Buckinghamshire;3
4;2020-09-21;2020-09-20;virtual Salad;4
5;2020-09-21;2020-09-21;Outdoors Pike integrate;5
6;2020-09-21;2020-09-21;Legacy Rial Omani;6
7;2020-09-21;2020-09-21;Creek mindshare Wooden;7
8;2020-09-21;2020-09-21;Global multi-tasking Small Soft Salad;8
9;2020-09-21;2020-09-21;olive web-enabled neutral;9
10;2020-09-21;2020-09-20;Minnesota;10
