id;street;lat;lng;city_id
1;Reymonta 18;Program schemas;calculate program;1
2;Krakowska 22;Pants;multi-byte Soft;2
3;Piłsudskiego 22;virtual;e-enable feed;3
4;Powstańców 1;Chief;Sports Falkland Islands (Malvinas) cross-platform;1
5;3 maja 44;port neural;District;2
6;Witolda Pileckiego 10;Representative Car Granite;compressing;3
7;Dywizjonu 303;pink;Refined;1
8;2. Korpusu Pancernego 33;sky blue;Bolivar Fuerte backing up;2
9;Sobieskiego 200;Forward Refined Frozen Cheese Mali;Checking Account analyzer Licensed Fresh Salad;3
10;Andersa 1;e-services;EXE Illinois;4
