id;report_date;jhi_desc;manager_note;worker_id;store_id
1;2020-09-20T22:12:32;Fresh;customized;1;1
2;2020-09-21T00:17:43;transmitting Cambridgeshire;Benin redundant generate;2;2
3;2020-09-21T09:01:35;open architecture;payment Solomon Islands;3;3
4;2020-09-21T05:00:53;architecture Mouse;middleware deposit;4;4
5;2020-09-21T10:14:04;back-end payment;Skyway Steel;5;5
6;2020-09-20T18:40:16;Licensed Soft Bacon;Optimization 24/7;6;6
7;2020-09-21T06:39:35;Gambia;interactive;7;7
8;2020-09-21T02:01:26;Rustic Concrete Tuna overriding auxiliary;mesh XML;8;8
9;2020-09-20T21:50:36;Intelligent primary;Tasty dynamic navigating;9;9
10;2020-09-21T00:51:42;yellow Associate;South Africa invoice reintermediate;10;10
