id;name;nip;jhi_desc;visited;storegroup_id;worker_id;address
1;Sklep 01;12312123432;applications;false;7;8;Jana Pawła II 55, Kraków
2;Sklep 02;12312123433;applications;false;7;8;Jana Pawła II 55, Kraków
3;Sklep 03;12312123434;applications;false;7;8;Jana Pawła II 55, Kraków
4;Sklep 04;12312123435;applications;false;7;8;Jana Pawła II 55, Kraków
5;Sklep 05;12312123436;applications;false;7;8;Jana Pawła II 55, Kraków
6;Sklep 06;12312123437;applications;false;7;8;Jana Pawła II 55, Kraków
7;Sklep 07;12312123438;applications;false;7;8;Jana Pawła II 55, Kraków
8;Sklep 08;12312123439;applications;false;7;8;Jana Pawła II 55, Kraków
9;Sklep 09;12312123440;applications;false;7;8;Jana Pawła II 55, Kraków
10;Sklep 10;12312123441;applications;false;7;8;Jana Pawła II 55, Kraków
11;Sklep 11;12312123442;applications;false;7;8;Jana Pawła II 55, Kraków
12;Sklep 12;12312123443;applications;false;7;8;Jana Pawła II 55, Kraków
13;Sklep 13;12312123444;applications;false;7;8;Jana Pawła II 55, Kraków
14;Sklep 14;12312123445;applications;false;7;8;Jana Pawła II 55, Kraków
15;Sklep 15;12312123446;applications;false;7;8;Jana Pawła II 55, Kraków
16;Sklep 16;12312123447;applications;false;7;8;Jana Pawła II 55, Kraków
17;Sklep 17;12312123448;applications;false;7;8;Jana Pawła II 55, Kraków
18;Sklep 18;12312123449;applications;false;7;8;Jana Pawła II 55, Kraków
19;Sklep 19;12312123450;applications;false;7;8;Jana Pawła II 55, Kraków
20;Sklep 20;12312123451;applications;false;7;8;Jana Pawła II 55, Kraków
21;Sklep 21;12312123452;applications;false;7;8;Jana Pawła II 55, Kraków
22;Sklep 22;12312123453;applications;false;7;8;Jana Pawła II 55, Kraków
23;Sklep 23;12312123454;applications;false;7;8;Jana Pawła II 55, Kraków
24;Sklep 24;12312123455;applications;false;7;8;Jana Pawła II 55, Kraków
25;Sklep 25;12312123456;applications;false;7;8;Jana Pawła II 55, Kraków
26;Sklep 26;12312123457;applications;false;7;8;Jana Pawła II 55, Kraków
27;Sklep 27;12312123458;applications;false;7;8;Jana Pawła II 55, Kraków
28;Sklep 28;12312123459;applications;false;7;8;Jana Pawła II 55, Kraków
29;Sklep 29;12312123460;applications;false;7;8;Jana Pawła II 55, Kraków
30;Sklep 30;12312123461;applications;false;7;8;Jana Pawła II 55, Kraków
31;Sklep 31;12312123462;applications;false;7;8;Jana Pawła II 55, Kraków
32;Sklep 32;12312123463;applications;false;7;8;Jana Pawła II 55, Kraków
33;Sklep 33;12312123464;applications;false;7;8;Jana Pawła II 55, Kraków
34;Sklep 34;12312123465;applications;false;7;8;Jana Pawła II 55, Kraków
35;Sklep 35;12312123466;applications;false;7;8;Jana Pawła II 55, Kraków
36;Sklep 36;12312123467;applications;false;7;8;Jana Pawła II 55, Kraków
37;Sklep 37;12312123468;applications;false;7;8;Jana Pawła II 55, Kraków
38;Sklep 38;12312123469;applications;false;7;8;Jana Pawła II 55, Kraków
39;Sklep 39;12312123470;applications;false;7;8;Jana Pawła II 55, Kraków
40;Sklep 40;12312123471;applications;false;7;8;Jana Pawła II 55, Kraków
41;Sklep 41;12312123472;applications;false;7;8;Jana Pawła II 55, Kraków
42;Sklep 42;12312123473;applications;false;7;8;Jana Pawła II 55, Kraków
43;Sklep 43;12312123474;applications;false;7;8;Jana Pawła II 55, Kraków
44;Sklep 44;12312123475;applications;false;7;8;Jana Pawła II 55, Kraków
45;Sklep 45;12312123476;applications;false;7;8;Jana Pawła II 55, Kraków
46;Sklep 46;12312123477;applications;false;7;8;Jana Pawła II 55, Kraków
47;Sklep 47;12312123478;applications;false;7;8;Jana Pawła II 55, Kraków
48;Sklep 48;12312123479;applications;false;7;8;Jana Pawła II 55, Kraków
49;Sklep 49;12312123480;applications;false;7;8;Jana Pawła II 55, Kraków
50;Sklep 50;12312123481;applications;false;7;8;Jana Pawła II 55, Kraków
51;Sklep 51;12312123482;applications;false;7;8;Jana Pawła II 55, Kraków
52;Sklep 52;12312123483;applications;false;7;8;Jana Pawła II 55, Kraków
53;Sklep 53;12312123484;applications;false;7;8;Jana Pawła II 55, Kraków
54;Sklep 54;12312123485;applications;false;7;8;Jana Pawła II 55, Kraków
55;Sklep 55;12312123486;applications;false;7;8;Jana Pawła II 55, Kraków
56;Sklep 56;12312123487;applications;false;7;8;Jana Pawła II 55, Kraków
57;Sklep 57;12312123488;applications;false;7;8;Jana Pawła II 55, Kraków
58;Sklep 58;12312123489;applications;false;7;8;Jana Pawła II 55, Kraków
59;Sklep 59;12312123490;applications;false;7;8;Jana Pawła II 55, Kraków
60;Sklep 60;12312123491;applications;false;7;8;Jana Pawła II 55, Kraków
61;Sklep 61;12312123492;applications;false;7;8;Jana Pawła II 55, Kraków
62;Sklep 62;12312123493;applications;false;7;8;Jana Pawła II 55, Kraków
63;Sklep 63;12312123494;applications;false;7;8;Jana Pawła II 55, Kraków
64;Sklep 64;12312123495;applications;false;7;8;Jana Pawła II 55, Kraków
65;Sklep 65;12312123496;applications;false;7;8;Jana Pawła II 55, Kraków
66;Sklep 66;12312123497;applications;false;7;8;Jana Pawła II 55, Kraków
67;Sklep 67;12312123498;applications;false;7;8;Jana Pawła II 55, Kraków
68;Sklep 68;12312123499;applications;false;7;8;Jana Pawła II 55, Kraków
69;Sklep 69;12312123500;applications;false;7;8;Jana Pawła II 55, Kraków
70;Sklep 70;12312123501;applications;false;7;8;Jana Pawła II 55, Kraków
71;Sklep 71;12312123502;applications;false;7;8;Jana Pawła II 55, Kraków
